TEMA,asignatura
Evaluación final teórica,Asignatura 7
Taller de encéfalo y medula,Asignatura 9
Procesamiento del dolor,Asignatura 7
"Estilos de vida, cultura y salud como determinantes sociales",Asignatura 1
OSCE 2,Asignatura 10
Dislipidemias,Asignatura 4
laboratorio histología cartílago,Asignatura 7
"Regiones, cavidades y espacios",Asignatura 1
Reproductor masculino,Asignatura 7
Presentación de protocolos,Asignatura 3
Tamización y Valoración Nutricional,Asignatura 2
Patología tumoral pulmonar,Asignatura 1
Biomoléculas,Asignatura 1
Fundamentación Relacion ventilacion perfusión ,Asignatura 2
Cardiomiopatías-tumores cardiacos-Meek,Asignatura 4
Examen final oral,Asignatura 3
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
21. Piel - Bacterianas y toxigenicas,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Taller de anatomía  e histología de ojo,Asignatura 9
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Segunda evaluación teórica fundamentos de la clinica,Asignatura 4
15. Piel Eruptivas virales,Asignatura 10
Repaso Anfiteatro,Asignatura 7
Gamagrafía osteomuscular,Asignatura 9
Caso 03. Piel - Infecciosas,Asignatura 10
Terminología del SN,Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
 Mecanismos potenciales para intervenir el eje hipotálamo - hipofisiario - ovárico.,Asignatura 7
Cólera,Asignatura 1
Presentación videos,Asignatura 9
Cuidado de la casa común,Asignatura 1
Taller de miembro inferior 1 g2,Asignatura 9
Patología de la enfermedad ocupacional,Asignatura 1
Farmacodinamia del control del movimiento voluntario (clase y taller),Asignatura 9
"Anfiteatro de medula espinal, configuración interna reflejos y contenido del canal medular",Asignatura 7
Examen final FPC III,Asignatura 9
"Unidades, concentraciones y pH ",Asignatura 1
Actividad física,Asignatura 2
Segunda Evaluación Parcial,Asignatura 7
Taller farmacocinética/ Metabolismo,Asignatura 5
Esferocitosis,Asignatura 1
Lesiones por presión,Asignatura 10
43. Laboratorio Gastro - EDA - Grupo B,Asignatura 10
Bases neurobiológicas de la volición y la motivación  ,Asignatura 9
Cuando el anciano cae,Asignatura 7
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Sistema nervioso autonomo,Asignatura 1
Taller de imágenes,Asignatura 1
Taller Sistema cardiorespiratorio y su contexto,Asignatura 3
Ajuste de tasas,Asignatura 3
Aspectos éticos,Asignatura 3
Taller de mecanismos de defensa,Asignatura 9
Actividad integradora 4 SINDROME MEDULAR,Asignatura 9
Neuropatia Guillain Barre,Asignatura 1
Preparaciones histológicas de tejidos conectivos generales. Taller de Tejidos Conectivos,Asignatura 1
Bioética sesión I,Asignatura 3
Intervenión de la función tiroidea,Asignatura 1
Intoxicación aguda por alcohol,Asignatura 1
Vulnerabilidad de los profesionales de la salud ,Asignatura 9
"Generalidades S. Gastrointestinal, boca, faringe, esófago y estómago",Asignatura 4
Examen final oral primer semestre ,Asignatura 2
actividad integradora -endocrino,Asignatura 9
Lípidos y vitaminas liposolubles,Asignatura 1
Semiologia Signos Vitales,Asignatura 10
Estructura de moléculas con carácter lipídico - Esteroles y vitaminas liposolubles,Asignatura 1
Actividad integradora- miembro inferior - SN autonomo,Asignatura 9
Repaso neuroanatomía,Asignatura 9
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 9
OSCE 2,Asignatura 10
Anfiteatro Sistema Urinario,Asignatura 7
Histopatología del tejido nervioso,Asignatura 7
C-SM Compartimientos líquidos y su dinámica,Asignatura 6
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Hilio pulmonar,Asignatura 1
"ESM-EVALUACIÓN 1ER PERIODO
SYM NUTRICIÓN (9-11 am)",Asignatura 6
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Taller de Bioquímica: Compuestos nitrogenados ,Asignatura 4
Semiología Piel Hipersensibilidad,Asignatura 10
Aproximaciones y corrientes teóricas de la investigación cualitativa,Asignatura 9
Evaluación final práctico,Asignatura 7
Presentación videos,Asignatura 9
Histología de cartílago,Asignatura 7
Escenarios Simulados con Debriefing,Asignatura 10
CEREMONIA DE BATAS,Asignatura 10
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Anatomía funcional de intestinos y páncreas,Asignatura 5
Anatomía de la glándula mamaria y Patología benigna de la mama / tamización de cáncer,Asignatura 7
Semiología Oftalmología,Asignatura 10
Supletorios evaluaciones semanales y sesiones integradoras (productos)  2° módulo,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Intervención,Asignatura 10
OSCE 1,Asignatura 10
C-SM Organización microscópica de estómago,Asignatura 4
Examen teórico CMC,Asignatura 7
Edema/ Enfermedad renal diabética,Asignatura 6
Pronóstico,Asignatura 10
Dislipidemias - Situaciones integradoras,Asignatura 10
C-SM Anatomía funcional del hígado y vía biliar (SYM2),Asignatura 5
Taller Semiología Respiratoria,Asignatura 2
SUPLETORIOS,Asignatura 9
Semiología general y errores frecuentes en aproximación inicial al paciente,Asignatura 7
Enfermedad renal crónica,Asignatura 10
14.Deficiencia Piruvato carboxilasa                 ,Asignatura 4
Hipertensión arterial,Asignatura 10
"Regulación de la fecundidad. Generalidades, métodos, criterios de elegibilidad",Asignatura 10
Actividad integradora 6 MIEMBRO SUPERIOR,Asignatura 9
Intervención en la vía inflamatoria,Asignatura 1
Glándulas salivares y páncreas,Asignatura 5
Procedimiento de inserción de sondas vesicales,Asignatura 7
Observando el riesgo. Estudios observacionales analíticos,Asignatura 7
52. Infecciones urinarias Complicadas,Asignatura 10
Retículo endoplásmico rugoso,Asignatura 1
35. Eritropoyesis y Anemias generalidades ,Asignatura 10
"Genes del sistema ligando receptor / señales autocrinas, paracrinas y endocrinas",Asignatura 1
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 4
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Simposio Bloque Naranja,Asignatura 2
Examen parcial práctico,Asignatura 7
Anatomia de circulación coronaria,Asignatura 1
C-SM Trastornos del intestino delgado y del colon (relacionados con digestión y absorción),Asignatura 5
Laboratorio integrador de neurofisiología (aplicación de la inteligencia artificial),Asignatura 9
43. Laboratorio Gastro - EDA - Grupo A,Asignatura 10
14.Deficiencia Piruvato carboxilasa                 ,Asignatura 4
 Cardiopatía hipertensiva izquierda y derecha (Patologia )Meek,Asignatura 4
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Faringe,Asignatua 4
chequeo semanal,Asignatura 9
Segmentación,Asignatura 1
Introduccion a las biomoléculas,Asignatura 1
Región anterior de cuello musculos supra e infrahiodeos,Asignatua 4
chequeo semanal,Asignatura 9
Bioquímica de las enfermedades del movimiento,Asignatura 7
Presentación de protocolos,Asignatura 3
Taller de cálculos,Asignatura 1
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
31. Virus respiratorios ,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Actividad integradora - Sindrome medular,Asignatura 7
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Esferocitosis - esplenectomía,Asignatura 1
"C-SM Homeostasis del calcio, fósforo, otros oligoelementos",Asignatura 6
65. Articulares no infecciosas ,Asignatura 10
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Taller Vía de Administración de medicamentos y laboratorio de formas medicamentosas,Asignatura 1
Trabajo en poster de políticas,Asignatura 9
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Maltrato infantil - Situaciones integradoras,Asignatura 10
Revisión de Notas,Asignatura 3
C-SM Homeostasis del potasio,Asignatura 6
Evaluacion de la circulacion y la sangre,Asignatura 2
Taller de exploración psicopatológica 4: Valoración de la memoria y las funciones ejecutivas,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Sangrado vaginal,Asignatura 7
Debilidad e ictericia / Cirrosis ,Asignatura 5
Hidrodinámica corporal: fenómenos sistémicos,Asignatura 1
46. ETS - Sindromes ulcerativos Virales ( Herpes - VPH),Asignatura 10
Conceptos centrales en historia de la medicina I,Asignatura 1
Semiologia Respiratoria,Asignatura 2
Dislipidemias,Asignatura 4
Diabetes tipo 1,Asignatura 4
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Semiología oftalmológica no neurológica,Asignatura 7
Introducción a fenómenos cognitivos y de la conciencia ,Asignatura 9
Bioquimica clinica en el metabolismo de los carbohidratos,Asignatura 3
Percepción auditiva,Asignatura 7
Cineforo receptores y señalización,Asignatura 1
Presentación de protocolos,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función renal,Asignatura 6
"Herramientas Participativas: observación, observación participante, diarios de campo, recorridos transectoriales y mapeo participativo",Asignatura 9
Evaluación 1 - Semanas 1 a 6 - Temas 1-30. Casos 1-5,Asignatura 10
Fisiopatología y semiología de las enfermedades hepáticas agudas y crónicas,Asignatura 7
Anatomía patológica del tracto gastrointestinal 1,Asignatura 5
Hipovolemia,Asignatura 1
Segunda Evaluación Parcial,Asignatura 7
Medidas de impacto,Asignatura 3
Evaluación de vasos perifericos y Toma de TA,Asignatura 2
C-SM Anatomía funcional y organización microscópica del seno,Asignatura 7
Taller anfiteatro de pares craneanos motores,Asignatura 9
HTA-IAM,Asignatura 1
7. Silicoantracosis,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de Imagenología ,Asignatura 9
C-SM Aspectos biológicos del desarrollo en la infancia y la adolescencia,Asignatura 7
"C-P Anatomía cavidad oral, faringe y esófago",Asignatura 7
Hueso temporal y Nervio facial,Asignatura 9
76. Inmunosenescencia,Asignatura 10
Atención,Asignatura 9
Uso Adecuado y PRM,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Examen teórico CMC,Asignatura 7
Afasias,Asignatura 9
Actividad integradora - demencia,Asignatura 9
"Epitelios de revestimiento y glandulares (Placas de los diferentes tejidos. Taller de Técnica Histologíca: H-E, Mallory, PAS y ME ,inmunohistoquimica)",Asignatura 1
Cuidados al final de la vida,Asignatura 10
C-SM Organización microscópica y función del sistema reproductor masculino I,Asignatura 7
,Asignatura 10
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Neuroanatomía clínica,Asignatura 7
Supletorio Eval 1 SYM2 y S. Escrita integradoras M1,Asignatura 6
Papel renal en el control y regulación de la presión arterial y del equilibrio ácido-base,Asignatura 6
Taller Simulacro Práctico Anatomia e Histología,Asignatura 2
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Introducción (Antecedentes y Justificación).,Asignatura 3
Evaluación final  práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Equilibrio ácido-base ,Asignatura 3
Semiología de alteraciones del movimiento (Movimientos anormales ),Asignatura 9
Examen final oral,Asignatura 3
Supletorios CMC - FPC III - S y V,Asignatura 9
Inteligencia artificial en la práctica clínica,Asignatura 10
Reunión con tutores,Asignatura 3
Repaso anfiteatro Neuroanatomía  ,Asignatura 9
18. Obesidad,Asignatura 4
Semiologia Respiratoria,Asignatura 10
8. Dolor toracico no coronario,Asignatura 1
Segmentación pulmonar,Asignatura 1
Árbol genealogico familiar basado en articulo estandarizado,Asignatura 1
Oftalmoscopia/Otoscopia / Sesión Ekg 1,Asignatura 10
HTA-IAM,Asignatura 1
Primera evaluación parte grupal Asma,Asignatura 1
Organizacion general de la historia clínica ,Asignatura 2
Farmacodinamia de medicamentos que regulan el afecto: Antidepresivos y Moduladores del afecto. ,Asignatura 9
Niveles de prevención Prevención primaria - Prevención secundaria,Asignatura 7
Caso 12. Endocrino Diabetes,Asignatura 10
Tejido hematopoyético 1,Asignatura 4
Simposio Bloque Naranja,Asignatura 2
Caso 07. Sindrome Anémico,Asignatura 10
Prácticas libres Estudiantes,Asignatura 10
Bioseguridad,Asignatura 1
1. Contaminación,Asignatura 4
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Presentación general,Asignatura 3
Tutoria 3 Semiologia Abdomen,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Neurobiología del sueño,Asignatura 9
Repaso CMC,Asignatura 9
EXAMEN ORAL,Asignatura 10
Obesidad,Asignatura 4
63. Sistémicas/profundas- Fungicas,Asignatura 10
Presentación póster de políticas,Asignatura 9
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Cuidado de la casa común,Asignatura 2
Medidas de frecuencia,Asignatura 3
Malnutrición,Asignatura 4
Anomalías de la diferenciación sexual,Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
SUPLETORIOS,Asignatura 9
Cuidado de la casa común,Asignatura 2
Tos crónica,Asignatura 10
Manejo renal de solutos,Asignatura 6
"Vulnerabilidad, acceso, equidad y sistema de salud en Colombia",Asignatura 9
"Neurobioquímica del aprendizaje, memoria y atención",Asignatura 9
Dislipidemias,Asignatura 4
Enfermedad de Chagas - Situación integradora,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Seguimiento de tutores,Asignatura 3
Simulacro anfiteatro,Asignatura 4
Simposio bloque naranja,Asignatura 4
22. Piel - Impacto cambio climático,Asignatura 10
Laboratorio de Electricidad,Asignatura 1
Tutorías Clínica Grupo Jueves,Asignatura 2
actividad integradora - Psicosis,Asignatura 9
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Presentación EPR,Asignatura 9
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
Taller sondas vesicales,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Potencial de acción ,Asignatura 1
"Patología placenta
",Asignatura 7
"Lab bioq, Fisio, Microscopia",Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Integración del movimiento,Asignatura 7
Repaso Neuroanatomía - histología,Asignatura 9
Anatomía del conducto inguinal,Asignatura 7
Uso seguro de vitaminas y minerales durante la gestación.,Asignatura 7
Caso 01. Fiebre origen desconocido,Asignatura 10
Actividad integradora - miembro superior,Asignatura 9
C-SM Enfermedad neoplásica prevalente de hígado y vías biliares,Asignatura 5
Segudo examen parcial - Segunda correlación clínica,Asignatura 10
C-SM Concentración y dilución urinaria,Asignatura 6
Taller  de farmacodinamia de medicamentos que regulan el afecto: Antidepresivos y Moduladores del afecto. Consideraciones generles de psicofármacos,Asignatura 9
Caso 12. Endocrino Diabetes,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Seguimiento de tutores,Asignatura 3
Infección respiratoria Alta,Asignatura 10
Examen final práctico CMC,Asignatura 9
C-SM Aspectos funcionales del eje hipotálamo hipófisis gonadal (Etapas de la vida) 1,Asignatura 6
Seguimiento de tutores,Asignatura 3
Segudo examen parcial - Segunda correlación clínica,Asignatura 10
4. EVALI,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Neurobiolgía del lenguaje,Asignatura 9
EXAMEN ORAL,Asignatura 10
Falla cardiaca,Asignatura 1
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
Taller de exploración psicopatológica 3: Afecto,Asignatura 9
Examen final PC1,Asignatura 3
Examen final teórico FPC III,Asignatura 9
14.Deficiencia Piruvato carboxilasa                 ,Asignatura 4
Cavidad abdominopélvica,Asignatura 7
Dolor torácico no coronario,Asignatura 1
C-SM Aspectos funcionales del eje hipotálamo hipófisis gonadal (Etapas de la vida) 2,Asignatura 6
33. TBC Patologia,Asignatura 10
Prueba de tolerancia a la glucosa oral,Asignatura 4
Medicina nuclear: usos en sistema gastrointestinal y nefrourológico,Asignatura 7
INDUCCIÓN GENERAL COORDINACIÓN DEL SEMESTRE,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Actividad integradora- miembro inferior - SN autonomo,Asignatura 9
Comunicación del riesgo,Asignatura 7
Anfiteatro Sistemas reproductores  ,Asignatura 7
Dogma central de la biología y filogenía celular,Asignatura 1
Taller de dolor toracico. Grupo Viernes,Asignatura 2
Cefaleas,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Intervención,Asignatura 10
Escenarios Simulados con Debriefing,Asignatura 10
Fisiopatología de los síntomas urinarios y exploración clínica del sistema renal,Asignatura 7
Determinantes de los patrones de actividad física II,Asignatura 3
12. Falla Cardiaca,Asignatura 4
Neurodesarrollo  ,Asignatura 9
Cuidado de la casa común,Asignatura 2
Pericardio y grandes vasos,Asignatura 1
10. Valvulopatia/Arritmia,Asignatura 4
"13. Inflamación Aguda, Crónica, Sepsis",Asignatura 10
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Primera evaluación sistemas y metabolismo I,Asignatura 1
Control prenatal,Asignatura 10
Infecciones de transmisión sexual - Situaciones integradoras,Asignatura 10
C-SM Control neuroendocrino del crecimiento,Asignatura 7
Pelvis blanda y periné,Asignatura 7
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Taller fosa ptarigopalatina-trigemino/ Laboratorio de histología de via aerea superior/ 2 grupos,Asignatua 4
Cardiopatías congénitas  o adquirida. Usando las piezas de patología,Asignatura 4
Bioética sesión II,Asignatura 3
Conceptos básicos de transición en salud I,Asignatura 3
Presentación estudiantes -tutoria 1,Asignatura 10
Inhaloterapia,Asignatura 10
Supletorios CMC - FPC III - S y V,Asignatura 9
Taller Semiología de vasos perifericos y toma de TA. Grupo Jueves,Asignatura 2
Taller de miembro inferior 3,Asignatura 9
Dislipidemias,Asignatura 4
Expresando la Medicina,Asignatura 10
Evaluación clinica de los lípidos,Asignatura 2
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
Estudio del dolor torácico,Asignatura 2
Regulacion de los procesos metabolicos intracelulares,Asignatura 3
Pruebas diagnóstica,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Actividad integradora -dolor,Asignatura 7
56. Infecciones Pie diabetico. ,Asignatura 10
Primera Evaluación Parcial,Asignatura 7
Taller de metabolismo osteo-condro-muscular,Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Equidad sexo género e infección por VPH ,Asignatura 1
Segundo examen,Asignatura 10
Taller de columna ,Asignatura 9
actividad integradora - Psicosis,Asignatura 9
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
2a Evaluación sustentación integradoras grupal,Asignatura 7
Evaluacion Actividades DII 2630,Asignatura 10
10. Valvulopatia/Arritmia,Asignatura 4
11. HTA -IAM,Asignatura 4
Caso 10. Urología - Orquiepididimitis,Asignatura 10
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Diarrea / malabsorción,Asignatura 5
OSCE 1,Asignatura 10
C-SM Envejecimiento y farmacología,Asignatura 7
El paciente geriátrico,Asignatura 7
SUPLETORIOS,Asignatura 9
Prácticas libres Estudiantes,Asignatura 10
Cavidad abdominopélvica,Asignatura 7
Enfermedad por transporte protéico intracelular,Asignatura 1
Fisiopatología de la función endocrina,Asignatura 9
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
C-SM Regulación de la homeostasis ácido-base corporal 1,Asignatura 6
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
"Semiología y psicopatología de la conciencia, atención y orientación",Asignatura 9
36. Anemias arregenerativas (aplasia medular) y diagnóstico por el laboratorio ,Asignatura 10
Inducción general de la asignatura,Asignatura 1
C-SM Mecanismos para mantener/modificar la presión dentro del capilar glomerular,Asignatura 6
Examen final oral,Asignatura 4
3a Evaluación sustentación integradoras grupal,Asignatura 7
Costos y financiacion,Asignatura 10
C-SM Taller función renal 2,Asignatura 6
Actividad integradora 3 OIDO,Asignatura 9
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
C-SM Funciones hepáticas distintas a las digestivas 2,Asignatura 5
EXAMEN ORAL,Asignatura 10
Evaluación supletoria final de  Sistemas y Metabolismo1 y clinica,Asignatura 4
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Errores Innatos del Desarrollo y Crecimiento Morfogenético,Asignatura 7
Taller de cálculos - Dosificación de medicamentos ,Asignatura 1
Taller de mecanismos de defensa,Asignatura 9
Simposio Bloque Naranja,Asignatura 2
3a Evaluación sustentación integradoras grupal,Asignatura 7
Repaso Anfiteatro,Asignatura 7
Inteligencia Artificial,Asignatura 10
Soporte Vital,Asignatura 2
Segunda evaluación práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
EXAMEN ORAL,Asignatura 10
Abordaje Integrado del Cáncer de Próstata,Asignatura 6
Segunda evaluación teórica fundamentos de la clinica,Asignatura 4
Semana de Reflexion,Asignatura 2
62. Sistémicas - Candidiasis,Asignatura 10
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Miastenia gravis (Inclusión social discapacidad),Asignatura 1
Reunión con tutores,Asignatura 3
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
Primera evaluación oral parte grupal 6. Enfermedad obstructiva,Asignatura 1
Obesidad monogénica,Asignatura 1
Bases neurobiológicas de la emoción,Asignatura 9
Organización del sistema inmunológico,Asignatura 1
Farmacodinamia de medicamentos que controlan la ansiedad y el sueño,Asignatura 9
Simulacro anfiteatro,Asignatura 4
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Funciones energéticas y estructurales de los polisacáridos,Asignatura 1
Sistemas de salud,Asignatura 3
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Taller regulacion neurobiológica de la función metabolica,Asignatura 9
Introducción a los Determinantes sociales ,Asignatura 1
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m)  ",Asignatura 7
Sintesis de lípidos estructurales,Asignatura 3
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 5
Debilidad e ictericia / Cirrosis ,Asignatura 5
12. Falla Cardiaca,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller de exploración psicopatológica 2:  Anamnesis - historia clínica,Asignatura 9
EXAMEN PRÁCTICO HISTOLOGÁ Y ANATOMÍA CMC Y FPC III,Asignatura 9
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
27-28. Infecciones OTRL - Nasofaringeas y Oticas,Asignatura 10
Seguimiento de tutores,Asignatura 3
Farmacología: De la diabetes,Asignatura 3
C-SM Biología del desarrollo del sistema urinario 2,Asignatura 6
Anatomía patológica del tracto gastrointestinal 1,Asignatura 5
Sistema digestivo,Asignatura 1
